_id,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Known_For22,score
81,Wafflesome,"Desserts, Beverages",500," Greater Kailash 1 (GK1), New Delhi",4.6,1500,4.2,2615,https://www.zomato.com/ncr/wafflesome-greater-kailash-gk-1-new-delhi,"M-33, Near M Block Market, Greater Kailash (GK) 1, New Delhi",9.11E+11,28.55138919,77.23450698,"Brownie Nutella Waffles, Choco Waffle, Mango Waffle, Banana Toffee, Ice Cream Strawberry, Strawberry Waffle","Great Fragrance, Totally Worth it, Cosy Place, Pocket Friendly, Serving Size, Fancy Crowd",4.374860144
82,Green House - The Beer Garden,"Continental, Tex-Mex, Mediterranean, North Indian, Asian",1500," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",4.6,1452,3.6,116,https://www.zomato.com/ncr/green-house-the-beer-garden-sector-49,"Food Court 3, Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",9.20E+11,28.41299641,77.05507357,"Herbed Potato Wedges, Veg Ceaser Salad, Cheese Corn Nuggets, Spaghetti Bolognese, Wheat Beer, Chocolate Lava Cake","Kid Friendly, Good Bartenders, Rooftop Ambience, Wooden Interiors, Live Performances, Service and Quality of Food",4.371074425
85,The Hook,"Seafood, Continental, North Indian",1800," Sector 29, Gurgaon",4.6,2285,3.8,332,https://www.zomato.com/ncr/the-hook-sector-29,"SCO 30, Leisure Valley Road, Sector 29, Gurgaon",9.20E+11,28.46873698,77.06324726,"Rusty Nail, Liit Cocktail, Soya Masala Chaap, Butter Garlic Prawns, Brewed Beer, Sea Food","Best Rooftop, Great Lighting, Live Entertainment, Lovely Music, Amazing View, Rooftop Seating",4.422786922
101,Rajinder Da Dhaba,"North Indian, Chinese, Mughlai",800," Safdarjung, New Delhi",4.5,5936,4.1,13600,https://www.zomato.com/ncr/rajinder-da-dhaba-safdarjung-new-delhi,"AB 14, Safdarjung Enclave Market, Safdarjung, New Delhi",9.20E+11,28.56552997,77.19925504,"Makhmali Fish, Veg Malai Tikka, Gaulauti Kebab, Satay Chicken, Chicken Kalmi, Paneer Malai","Dhaba Feel, Super Fast Service, Office Crowd, Casual Seating Area, Elegantly Decorated, Inexpensive",4.430064189
106,Perch Wine & Coffee Bar,"Beverages, European, Continental",2000," Khan Market, New Delhi",4.5,1424,4.3,151,https://www.zomato.com/ncr/perch-wine-coffee-bar-khan-market-new-delhi,"71, 1st Floor, Khan Market, New Delhi",9.18E+11,28.5998317,77.22619817,"Double Chocolate Mousse, Coffee Bar, Potato Gnocchi, Mango Sorbet, Mulled Wine, Chicken Sub","Wooden Interiors, Pretty Place, Calm, Light Music, Friendly Service, Cosy Place",4.318428166
113,Triveni Terrace Cafe,"Street Food, Desserts, Beverages",400," Mandi House, New Delhi",4.5,2004,4.2,454,https://www.zomato.com/ncr/triveni-terrace-cafe-mandi-house-new-delhi,"205 Tansenmarg, Mandi House, New Delhi",9.20E+11,28.627275,77.232382,"Masala Cheese Toast, Coconut Curry Chicken, Pohaa, Ragi Idli, Paalak Patta Chaat, Gun Powder Idli","Beautiful Environment, Serene Ambience, Soothing Ambience, Open Seating, Peaceful Environment, Positive Vibe",4.349342175
114,Mamagoto,"Asian, Chinese, Sushi, Desserts",1000," Select Citywalk Mall, Saket, New Delhi",4.5,2422,4.1,3107,https://www.zomato.com/ncr/mamagoto-saket-new-delhi,"S-9, 2nd Floor, Select Citywalk Mall, Saket, New Delhi",9.11E+11,28.52873919,77.21961133,"Spicy Calamari, Spicy Bangkok Bowl, Kiwi Mint Cooler, Nutella Crunch, Spicy Ramen, Rock Shrimp Tempura","Food Service, Family Place, Exceptional Service, Comfortable Seating, Good Value, Excellent Experience",4.365807942
121,Punjab Grill,"North Indian, Mughlai, Biryani, Kebab, Desserts",2500," Pacific Mall, Tagore Garden, New Delhi",4.5,2764,4.1,2786,https://www.zomato.com/ncr/punjab-grill-tagore-garden-new-delhi,"Pacific Mall, Tagore Garden, New Delhi",9.18E+11,28.64279257,77.10638221,"Veg Kurkuri, Meat Punjab Grill, Saag Gosht, Pan Shots, Murg Lababdar, Authentic Punjabi Food","Good Service Good Quality, Peaceful Ambience, Elegant Ambience, Good Server, Ambience was Super Cool, Cordial Staff",4.376822602
136,Punjabi Angithi,"North Indian, Chinese, Rolls, Fast Food, Momos",400," Paschim Vihar, New Delhi",4.5,3125,4.1,87700,https://www.zomato.com/ncr/punjabi-angithi-paschim-vihar-new-delhi,"32-22, A 4, DDA Market, Paschim Vihar, New Delhi",9.18E+11,28.67267878,77.10898831,"Bhuna Chaap Masala, Paneer Tikka Tandoori, Paneer Kurkure, Tawa Tikka Masala, Handi Paneer, Butter Garlic Noodles","Very Good Food, Tasty Stuff, Serving Size, Relaxed Atmosphere, Comfortable Seating Area, Pure Veg",4.386643929
141,Karnataka Food Centre,"South Indian, Beverages",450," R K Puram, New Delhi",4.5,1932,4.3,3519,https://www.zomato.com/ncr/karnataka-food-centre-r-k-puram-new-delhi,"Delhi Karnataka Sangha Building, Rao Tula Ram Marg, Sector 12, R K Puram, New Delhi",9.11E+11,28.57786284,77.17531264,"Plain Masala Dosa, Mysore Pak, Sweet Pan, Filtered Coffee, Rava Kesari, Potato Filling","Super Fast Service, Unlimited Refills, Office Crowd, Bang for the Buck, Elegantly Decorated, Parking Space",4.346089202
