,old_index,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Website,Known_For2,Known_For22
641,1127,Kamal's,"North Indian, Fast Food, Street Food, Mithai, Beverages",300," Sunder Nagar, New Delhi",4.1,420,https://www.zomato.com/ncr/kamals-sunder-nagar-new-delhi,"Lusty Chicken Burger, Chicken Garlic Bread, Keema Kulcha, Chicken Sandwich, Peri Peri Fries, Red Sauce Pasta","Casual Seating Area, Elegantly Decorated, Great Recommendations, Good Crowd, Low Price, Good Presentation"
642,1128,Munch Nation,"North Indian, Chinese, Fast Food",500," Ashok Vihar Phase 3, New Delhi",4.1,650,https://www.zomato.com/ncr/munch-nation-1-ashok-vihar-phase-3-new-delhi,"Hyderabadi Chicken, Briyani, Tawa Chicken, Veg Biryani, Egg, Paneer Butter Masala","Elegantly Decorated, Lip Smacking Food, Good Portions, Pocket Friendly, Economical, Great Recommendations"
643,1131,New Udupi Restaurant,"South Indian, Chinese",200," Nehru Nagar, Ghaziabad",4.1,230,https://www.zomato.com/ncr/new-udupi-restaurant-nehru-nagar-ghaziabad,"Gosht Roganjosh, Changezi Chicken, Phirni, Paneer Makhani, Mughlai Food, Soya Chaap","Food Taste, Packing, Nice Food, Preparation, Awesome Food, Amazing Place"
644,1132,Cafe Purani Dilli,"North Indian, Mughlai, Biryani",600," Punjabi Bagh, New Delhi",4.1,481,https://www.zomato.com/ncr/cafe-purani-dilli-punjabi-bagh-new-delhi,"Sweet Corn Soup, Chilly Garlic Noodles, Veg Noodles, Chilly Chicken, Chicken Momos, Spring Rolls","Chinese, Good Value, Great Value, Cutlery, Delivery Time, Prompt Service"
645,1133,Chinese Corner,Chinese,550," Vyapar Kendra, Sushant Lok, Gurgaon",4.1,559,https://www.zomato.com/ncr/chinese-corner-sushant-lok,"Cheeseless Pizza, Couscous Salad, Spinach Corn Sandwich, Healthy Breakfast, Smoothies, Steak","Healthy Food Options, Great Concept, Great Restaurant, Fresh Ingredients, Quick Delivery, Combos"
646,1134,The Diet Kitchen,"Continental, Healthy Food, Salad",700," East Patel Nagar, New Delhi",4.1,368,https://www.zomato.com/ncr/the-diet-kitchen-east-patel-nagar-new-delhi,"Chocolate Truffle, Pastas, Pizzas, Chicken Wings, Cakes, Dessert","Great Quality, Friendly Staff, Excellent Food, Reasonable Prices, Tasty, Good Service"
647,1135,Slice of Italy,"Pizza, Italian",500," Meharchand Market, Lodhi Colony, New Delhi",4.1,585,https://www.zomato.com/ncr/slice-of-italy-lodhi-colony-new-delhi,"Mutton Keema Naan, Onion Kulcha, Sides, Paneer Lababdar, Malai Chaap, Paneer Butter Masala","Delicious, Good Packaging, Quick Delivery, Good Quantity, Reasonable Prices, Tasty"
648,1136,Caspian,"North Indian, Chinese, Biryani",500," Sector 50, Noida",4.1,149,https://www.zomato.com/ncr/caspian-sector-50-noida,"Nutella Crepe, Churros, Iced Peach Tea, Waffles, Dessert, Sandwiches","Bank for the Buck, Totally Worth it, Table Service, Pretty Decor, Student Crowd, Young Crowd"
649,1138,Oh My Grill,"North Indian, Chinese",500," Shastri Nagar, Ghaziabad",4.1,216,https://www.zomato.com/ncr/oh-my-grill-shastri-nagar-ghaziabad,"Soya Malai Tikka, Rajma, Mughlai Food, Malai Kofta, Tandoori Momos, Kadhai Paneer","Prompt Delivery, Quick Delivery, Great Quality, Combos, Recommended Place, Delicious Taste"
650,1139,Tandoor Express,"Mughlai, North Indian, Chinese, Desserts, Beverages",600," Golf Course Road, Gurgaon",4.1,427,https://www.zomato.com/ncr/tandoor-express-golf-course-road,"Jodhpuri Paratha, Stuffed Tangri Kebab, Aloo Pyaz Paratha, Dahi Ke Sholey, Parathas, Achari Chaap","Bookshelf, Tasty Stuff, Worth the Price, Delicious, Comfortable Seating, Combos"
651,1141,Cakesisland.com,"Bakery, Desserts",500," Udyog Vihar, Gurgaon",4.1,307,https://www.zomato.com/ncr/cakesislandcom-udyog-vihar,"Cheesy Garlic Bread, Kit Kat Shake, Mojito, White Sauce Pasta, Shakes, Pizzas","Cute Little Place, Prompt Service, Reasonable Prices, Amazing Place, Seating, Presentation"
652,1142,Oh Yummy,"Pizza, Pasta, Fast Food, Beverages",500," Vikaspuri, New Delhi",4.1,314,https://www.zomato.com/ncr/oh-yummy-vikaspuri-new-delhi,"Chicken Shawarama, Soya Chaap Roll, Chicken Lababdar, Pancakes, Egg Curry, Wraps","Desi Food, Fantastic Service, Takeaway, Best Restaurant, Good Packaging, Reasonable Rates"
653,1143,Wrapchick,"North Indian, Chinese, BBQ, Lebanese",650," Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",4.1,418,https://www.zomato.com/ncr/wrapchick-sushant-lok,"Tawa Paneer, Panneer Butter Masala, Kheer, Dal Tadka, Butter Roti, Kadhai Paneer","Economical, Prompt Service, Delivery Time, Best Food, Polite Staff, Good Quantity"
654,1144,Mealtime,North Indian,450," Gaur City 1, Greater Noida",4.1,384,https://www.zomato.com/ncr/mealtime-gaur-city-1-greater-noida,"Smokey Burger, Curly Fries, Veggie Burger, French Fries, Drink, Chicken","Reasonable Prices, Great Taste, Awesome Food, Amazing Place, Nice Place, Ambiance"
655,1145,The Big Bun,"Burger, Beverages, Fast Food",300," Rohini, New Delhi",4.1,354,https://www.zomato.com/ncr/the-big-bun-1-rohini-new-delhi,"Crispy Paratha, Kathi Rolls, Paneer Roll, Paneer Lababdar, Biryani, Dal Makhani","Sitting, Great Recommendations, Nice Ambience, Decor, Perfect Place, Main Course"
656,1146,Kathi Junction,"Rolls, Beverages",300," Sector 62, Noida",4.1,303,https://www.zomato.com/ncr/kathi-junction-sector-62-noida,"Soya Masala, Daal Tadka, Risotto, Chicken Biriyani, Cheese Pizza, Pastas","Interesting Decor, Good Packing, Great Hospitality, Awesome Service, Amazing Ambience, Quick Service"
657,1147,Ruchikaaram,"South Indian, North Indian",500," DLF Phase 3, Gurgaon",4.1,334,https://www.zomato.com/ncr/ruchikaaram-dlf-phase-3,"Sweet Corn Pizza, Stuffed Garlic Bread, White Sauce Pasta, Pizzas, Corn, Pasta","Cute Little Place, Nice Crowd, Low Price, Reasonable Prices, Polite Staff, Amazing Taste"
